capcode,discipline,locatie/divisie,beschrijving
1100000,BRW,GMK Oost-Brabant,Beheer
1100016,BRW,Regionaal,IM-CoPI/OIV (Persoonlijk)
1100017,BRW,Regionaal,Persoonlijkecode
1100027,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100100,BRW,Regionaal,Proefalarm Centralisten
1100101,BRW,Regionaal,Centralisten
1100108,BRW,Regionaal,AGS (Persoonlijkecode)
1100116,BRW,MKB Oost-Brabant,Monitorcode Centralisten Brabant-Noord
1100164,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100165,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100166,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100167,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100168,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100169,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1100170,BRW,Regionaal,Officieren informatie voorziening
1100171,BRW,Regionaal,Officieren informatie voorziening
1100175,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1100176,BRW,Regionaal,Officieren informatie voorziening
1100179,BRW,Regionaal,Officier Defensie (Persoonlijk)
1100181,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1100182,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1100191,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100192,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100193,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100194,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100195,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100196,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100197,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1100381,BRW,Regionaal,Persoonlijkecode
1100612,BRW,Regionaal,Persoonlijkecode
1100617,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1100619,BRW,Regionaal,Persoonlijkecode
1100631,BRW,Regionaal,Persoonlijkecode
1100635,BRW,Regionaal,Persoonlijkecode
1100642,BRW,Regionaal,Persoonlijkecode
1100806,BRW,Regionaal,Ondersteuningsteam (Persoonlijke code)
1101017,BRW,Regionaal,Persoonlijkecode
1101056,BRW,Regionaal,TCO (Persoonlijkecode)
1101181,BRW,Regionaal,Persoonlijkecode
1101215,BRW,Regionaal,Persoonlijkecode
1101268,BRW,Regionaal,Persoonlijkecode
1101306,BRW,Regionaal,TCO (Persoonlijkecode)
1101354,BRW,Regionaal,TCO (Persoonlijkecode)
1101362,BRW,Regionaal,Persoonlijkecode
1101553,BRW,Regionaal,Persoonlijkecode
1101676,BRW,Regionaal,Persoonlijkecode
1101756,BRW,Regionaal,Persoonlijkecode
1101757,BRW,Regionaal,Persoonlijkecode
1101811,BRW,Regionaal,Persoonlijkecode
1101815,BRW,Regionaal,Persoonlijkecode
1101851,BRW,Regionaal,Persoonlijkecode
1101909,BRW,Regionaal,Persoonlijkecode
1101970,BRW,Regionaal,Persoonlijkecode
1101985,BRW,Regionaal,Persoonlijkecode
1102051,BRW,Regionaal,Persoonlijkecode
1102102,BRW,Regionaal,TCO (Persoonlijkecode)
1102113,BRW,Regionaal,Persoonlijkecode
1102132,BRW,Regionaal,Persoonlijkecode
1102165,BRW,Regionaal,Persoonlijkecode
1102176,BRW,Regionaal,Persoonlijkecode
1102201,BRW,Regionaal,Informatiemanager-CoPI/Operationele Informatie Voorziening (Persoonlijk)
1102477,BRW,Regionaal,Persoonlijkecode
1102566,BRW,Regionaal,Persoonlijkecode
1102613,BRW,Regionaal,Persoonlijkecode
1102653,BRW,Regionaal,Persoonlijkecode
1102702,BRW,Regionaal,TCO (Persoonlijkecode)
1103000,BRW,GMK Oost-Brabant,Beheer
